,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
347,25.5,25000.0,4.0,6.0,30.0,0.0,0.5,0.0,10.0,29.0,-10.0,0.0,0.0,0,21-30,"Below N50,000",Bank E,Male,Bank A,Abeokuta,OND/HND,Student,No,,
348,25.5,25000.0,3.0,6.0,30.0,0.0,0.5,9.0,-10.0,48.0,-20.0,-10.0,10.0,0,21-30,"Below N50,000",Bank A,Male,Bank A,Abeokuta,OND/HND,Student,No,,
349,25.5,25000.0,1.0,6.0,30.0,0.0,0.5,90.0,0.0,49.0,-10.0,0.0,10.0,0,21-30,"Below N50,000",Bank N,Male,Bank A,Abeokuta,OND/HND,Student,No,,
351,50.5,75000.0,15.0,0.5,2.0,0.0,0.0,-114.0,-57.0,-171.0,-54.0,-54.0,-27.0,0,41-60,"N50,000 - N100,000",Bank A,Male,Bank A,Abeokuta,OND/HND,Civil/Public Servant,Yes,Bank A,Bank J
352,33,75000.0,3.0,6.0,6.0,0.0,0.5,-50.0,-40.0,-1.0,-20.0,-20.0,10.0,0,31-35,"N50,000 - N100,000",Bank M,Female,Bank M,Abeokuta,Primary School leaving certificate,Private Sector Employee,Yes,Bank M,Bank E
358,25.5,75000.0,2.0,6.0,30.0,0.0,0.0,54.0,20.0,44.0,20.0,36.0,0.0,0,21-30,"N50,000 - N100,000",Bank G,Male,Bank G,Aba,Secondary school leaving certificate,Self Employed,No,,
361,25.5,75000.0,2.0,6.0,30.0,0.0,0.0,54.0,20.0,44.0,20.0,36.0,0.0,0,21-30,"N50,000 - N100,000",Bank G,Male,Bank G,Aba,Secondary school leaving certificate,Self Employed,No,,
369,25.5,25000.0,5.0,6.0,30.0,0.0,0.0,80.0,40.0,57.0,16.0,20.0,14.0,3,21-30,"Below N50,000",Bank B,Female,,Aba,Bachelor's Decree,Private Sector Employee,No,,
374,33,175000.0,5.0,6.0,30.0,0.0,0.0,0.0,16.0,10.0,8.0,20.0,0.0,0,31-35,"N101,000 - N250,000",Bank B,Female,Bank B,Aba,OND/HND,Civil/Public Servant,No,,
378,38,75000.0,8.0,6.0,6.0,0.0,0.5,54.0,18.0,49.0,20.0,32.0,0.0,0,36-40,"N50,000 - N100,000",Bank B,Male,Bank B,Aba,Bachelor's Decree,Civil/Public Servant,No,,
383,33,25000.0,11.0,6.0,30.0,0.0,0.0,15.0,20.0,100.0,11.0,0.0,0.0,0,31-35,"Below N50,000",Bank L,Male,Bank L,Aba,Bachelor's Decree,Self Employed,No,,
384,33,25000.0,4.0,6.0,30.0,0.0,0.0,15.0,20.0,40.0,11.0,0.0,0.0,0,31-35,"Below N50,000",Bank P,Male,Bank L,Aba,Bachelor's Decree,Self Employed,No,,
409,25.5,25000.0,5.0,2.0,2.0,0.5,0.5,-8.0,-12.0,-24.0,-16.0,0.0,0.0,0,21-30,"Below N50,000",Bank B,Female,Bank B,Aba,Bachelor's Decree,Self Employed,No,,
420,33,375000.0,8.0,6.0,6.0,0.5,0.5,8.0,4.0,-60.0,30.0,20.0,0.0,0,31-35,"N251,000 - N500,000",Bank G,Female,Bank B,Aba,Bachelor's Decree,Self Employed,No,,
421,50.5,375000.0,2.0,6.0,30.0,6.0,30.0,50.0,17.0,50.0,60.0,32.0,8.0,1,41-60,"N251,000 - N500,000",Bank D,Male,,Aba,Secondary school leaving certificate,Self Employed,No,,
422,50.5,375000.0,6.0,6.0,30.0,6.0,30.0,10.0,34.0,144.0,20.0,32.0,8.0,1,41-60,"N251,000 - N500,000",Bank B,Male,,Aba,Secondary school leaving certificate,Self Employed,No,,
424,25.5,75000.0,2.0,30.0,30.0,0.5,0.0,0.0,0.0,7.0,-12.0,4.0,0.0,0,21-30,"N50,000 - N100,000",Bank G,Female,Bank B,Aba,Bachelor's Decree,Self Employed,No,,
425,25.5,75000.0,7.0,30.0,30.0,0.5,0.0,0.0,0.0,0.0,-6.0,4.0,0.0,0,21-30,"N50,000 - N100,000",Bank B,Female,Bank B,Aba,Bachelor's Decree,Self Employed,No,,
426,33,25000.0,10.0,2.0,2.0,0.5,0.0,0.0,0.0,48.0,-14.0,0.0,3.0,0,31-35,"Below N50,000",Bank A,Female,Bank A,Aba,Bachelor's Decree,Unemployed,No,,
427,50.5,375000.0,10.0,6.0,30.0,2.0,30.0,22.0,7.0,50.0,0.0,8.0,0.0,1,41-60,"N251,000 - N500,000",Bank L,Male,,Aba,OND/HND,Private Sector Employee,No,,
428,50.5,375000.0,10.0,6.0,30.0,2.0,30.0,42.0,0.0,97.0,0.0,8.0,0.0,1,41-60,"N251,000 - N500,000",Bank K,Male,,Aba,OND/HND,Private Sector Employee,No,,
429,50.5,75000.0,8.0,6.0,30.0,0.5,0.0,8.0,15.0,44.0,11.0,-10.0,0.0,0,41-60,"N50,000 - N100,000",Bank C,Female,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
430,50.5,75000.0,10.0,6.0,30.0,0.5,0.0,8.0,15.0,-26.0,11.0,-10.0,0.0,0,41-60,"N50,000 - N100,000",Bank A,Female,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
431,25.5,25000.0,5.0,2.0,2.0,0.5,0.0,-56.0,-12.0,24.0,-22.0,-5.0,-10.0,0,21-30,"Below N50,000",Bank B,Female,Bank B,Aba,OND/HND,Unemployed,No,,
448,38,175000.0,12.0,2.0,30.0,2.0,0.5,-14.0,-10.0,20.0,22.0,-10.0,0.0,0,36-40,"N101,000 - N250,000",Bank D,Male,Bank D,Aba,Secondary school leaving certificate,Self Employed,Yes,Bank D,Bank C
453,38,175000.0,17.0,2.0,30.0,0.5,0.0,0.0,0.0,180.0,16.0,-16.0,0.0,2,36-40,"N101,000 - N250,000",Bank B,Male,Bank B,Aba,OND/HND,Unemployed,No,,
457,50.5,375000.0,8.0,2.0,30.0,0.5,0.0,0.0,0.0,40.0,0.0,16.0,0.0,2,41-60,"N251,000 - N500,000",Bank G,Male,Bank B,Aba,OND/HND,Self Employed,No,,
458,50.5,375000.0,12.0,2.0,30.0,0.5,0.0,0.0,0.0,120.0,16.0,16.0,0.0,2,41-60,"N251,000 - N500,000",Bank B,Male,Bank B,Aba,OND/HND,Self Employed,No,,
459,50.5,375000.0,8.0,2.0,30.0,0.5,0.0,0.0,0.0,130.0,16.0,16.0,0.0,2,41-60,"N251,000 - N500,000",Bank C,Male,Bank B,Aba,OND/HND,Self Employed,No,,
460,65,175000.0,25.0,2.0,30.0,0.5,0.5,24.0,42.0,111.0,40.0,60.0,3.0,2,Above 60,"N101,000 - N250,000",Bank I,Male,Bank I,Aba,Bachelor's Decree,Retired,No,,
462,33,25000.0,6.0,6.0,2.0,0.5,0.0,-16.0,-6.0,0.0,-36.0,0.0,2.0,0,31-35,"Below N50,000",Bank L,Female,Bank L,Aba,Bachelor's Decree,Self Employed,No,,
463,50.5,75000.0,12.0,2.0,2.0,0.5,0.5,0.0,0.0,-56.0,0.0,0.0,0.0,0,41-60,"N50,000 - N100,000",Bank N,Male,Bank N,Aba,OND/HND,Retired,No,,
465,50.5,25000.0,12.0,2.0,0.5,0.5,0.5,0.0,0.0,0.0,-10.0,0.0,0.0,0,41-60,"Below N50,000",Bank B,Female,Bank B,Aba,Bachelor's Decree,Unemployed,No,,
466,25.5,25000.0,10.0,2.0,6.0,0.5,0.0,0.0,10.0,-12.0,20.0,0.0,0.0,0,21-30,"Below N50,000",Bank G,Male,Bank I,Aba,Secondary school leaving certificate,Unemployed,No,,
467,25.5,25000.0,5.0,2.0,6.0,0.5,0.0,24.0,10.0,24.0,0.0,0.0,0.0,0,21-30,"Below N50,000",Bank I,Male,Bank I,Aba,Secondary school leaving certificate,Unemployed,No,,
468,25.5,25000.0,3.0,2.0,6.0,0.5,0.0,12.0,0.0,10.0,20.0,0.0,0.0,0,21-30,"Below N50,000",Bank E,Male,Bank I,Aba,Secondary school leaving certificate,Unemployed,No,,
472,33,75000.0,10.0,2.0,6.0,0.5,0.0,40.0,20.0,180.0,60.0,40.0,-2.0,3,31-35,"N50,000 - N100,000",Bank G,Female,Bank G,Aba,OND/HND,Private Sector Employee,No,,
486,50.5,25000.0,5.0,6.0,30.0,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0,41-60,"Below N50,000",Bank D,Male,Bank D,Aba,No Formal Education,Self Employed,No,,
491,38,75000.0,7.0,6.0,30.0,0.0,0.0,0.0,-2.0,26.0,0.0,-5.0,0.0,0,36-40,"N50,000 - N100,000",Bank H,Male,Bank D,Aba,OND/HND,Self Employed,No,,
492,38,75000.0,10.0,6.0,30.0,0.0,0.0,0.0,-2.0,26.0,0.0,-5.0,0.0,0,36-40,"N50,000 - N100,000",Bank D,Male,Bank D,Aba,OND/HND,Self Employed,No,,
525,33,75000.0,2.0,2.0,6.0,30.0,0.0,32.0,16.0,10.0,0.0,0.0,0.0,1,31-35,"N50,000 - N100,000",Bank L,Male,Bank L,Aba,Bachelor's Decree,Self Employed,No,,
527,38,375000.0,5.0,30.0,6.0,2.0,2.0,48.0,9.0,43.0,0.0,0.0,0.0,0,36-40,"N251,000 - N500,000",Bank G,Male,Bank G,Aba,Primary School leaving certificate,Self Employed,No,,
529,38,175000.0,13.0,30.0,30.0,30.0,30.0,120.0,48.0,27.0,54.0,60.0,24.0,1,36-40,"N101,000 - N250,000",Bank I,Male,Bank I,Aba,Secondary school leaving certificate,Private Sector Employee,No,,
530,38,75000.0,8.0,30.0,30.0,30.0,6.0,102.0,54.0,174.0,13.0,16.0,10.0,1,36-40,"N50,000 - N100,000",Bank A,Female,Bank A,Aba,OND/HND,Self Employed,No,,
535,65,175000.0,8.0,30.0,30.0,30.0,30.0,120.0,60.0,180.0,40.0,60.0,30.0,1,Above 60,"N101,000 - N250,000",Bank B,Female,,Aba,Bachelor's Decree,Private Sector Employee,No,,
536,65,175000.0,7.0,30.0,30.0,30.0,30.0,40.0,20.0,120.0,60.0,60.0,30.0,1,Above 60,"N101,000 - N250,000",Bank F,Female,,Aba,Bachelor's Decree,Private Sector Employee,No,,
537,38,75000.0,2.0,30.0,30.0,30.0,30.0,80.0,40.0,120.0,48.0,54.0,27.0,1,36-40,"N50,000 - N100,000",Bank O,Male,Bank O,Aba,No Response,Self Employed,No,,
538,25.5,75000.0,4.0,30.0,30.0,30.0,6.0,68.0,16.0,144.0,40.0,40.0,20.0,1,21-30,"N50,000 - N100,000",Bank P,Male,Bank P,Aba,Bachelor's Decree,Others,No,,
540,25.5,25000.0,6.0,30.0,30.0,30.0,30.0,70.0,36.0,165.0,0.0,8.0,20.0,1,21-30,"Below N50,000",Bank C,Female,Bank C,Aba,OND/HND,Student,No,,
541,38,175000.0,5.0,30.0,30.0,30.0,30.0,96.0,50.0,159.0,40.0,50.0,30.0,1,36-40,"N101,000 - N250,000",Bank J,Male,Bank J,Aba,Secondary school leaving certificate,Self Employed,No,,
542,33,175000.0,10.0,30.0,30.0,30.0,30.0,90.0,47.0,59.0,48.0,54.0,30.0,1,31-35,"N101,000 - N250,000",Bank N,Female,Bank N,Aba,Bachelor's Decree,Private Sector Employee,No,,
543,25.5,75000.0,5.0,2.0,30.0,30.0,0.0,4.0,2.0,90.0,0.0,0.0,0.0,1,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
544,25.5,75000.0,7.0,2.0,30.0,30.0,0.0,12.0,6.0,0.0,48.0,0.0,0.0,1,21-30,"N50,000 - N100,000",Bank K,Male,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
547,33,25000.0,8.0,30.0,30.0,30.0,6.0,120.0,60.0,96.0,60.0,60.0,30.0,1,31-35,"Below N50,000",Bank D,Female,Bank D,Aba,OND/HND,Unemployed,No,,
549,25.5,75000.0,4.0,30.0,30.0,30.0,6.0,114.0,60.0,156.0,26.0,32.0,24.0,1,21-30,"N50,000 - N100,000",Bank F,Female,Bank F,Aba,OND/HND,Private Sector Employee,No,,
550,33,75000.0,4.0,0.5,6.0,2.0,0.0,32.0,32.0,70.0,40.0,48.0,0.0,3,31-35,"N50,000 - N100,000",Bank J,Female,Bank J,Aba,OND/HND,Private Sector Employee,No,,
551,33,75000.0,10.0,0.5,6.0,2.0,0.0,32.0,32.0,70.0,40.0,48.0,0.0,3,31-35,"N50,000 - N100,000",Bank B,Female,Bank J,Aba,OND/HND,Private Sector Employee,No,,
552,38,75000.0,13.0,2.0,6.0,0.5,0.0,0.0,6.0,60.0,14.0,0.0,0.0,0,36-40,"N50,000 - N100,000",Bank G,Male,Bank G,Aba,No Formal Education,Self Employed,No,,
557,25.5,25000.0,5.0,30.0,30.0,30.0,6.0,18.0,60.0,150.0,26.0,0.0,20.0,1,21-30,"Below N50,000",Bank G,Male,Bank G,Aba,OND/HND,Private Sector Employee,No,,
560,38,375000.0,10.0,6.0,6.0,0.0,30.0,66.0,8.0,67.0,15.0,18.0,0.0,1,36-40,"N251,000 - N500,000",Bank A,Male,,Aba,OND/HND,Self Employed,No,,
561,38,375000.0,13.0,6.0,6.0,0.0,30.0,96.0,8.0,53.0,15.0,18.0,16.0,1,36-40,"N251,000 - N500,000",Bank N,Male,,Aba,OND/HND,Self Employed,No,,
562,38,75000.0,8.0,30.0,30.0,30.0,30.0,91.0,51.0,165.0,30.0,60.0,30.0,1,36-40,"N50,000 - N100,000",Bank G,Male,Bank G,Aba,Secondary school leaving certificate,Self Employed,No,,
567,38,75000.0,10.0,2.0,6.0,0.0,0.0,40.0,0.0,0.0,16.0,6.0,0.0,0,36-40,"N50,000 - N100,000",Bank D,Female,Bank D,Aba,Secondary school leaving certificate,Self Employed,No,,
568,38,75000.0,10.0,2.0,6.0,0.0,0.0,40.0,0.0,0.0,16.0,6.0,0.0,0,36-40,"N50,000 - N100,000",Bank A,Female,Bank D,Aba,Secondary school leaving certificate,Self Employed,No,,
603,38,175000.0,8.0,2.0,6.0,0.5,0.5,32.0,16.0,120.0,40.0,0.0,1.0,2,36-40,"N101,000 - N250,000",Bank C,Female,Bank C,Aba,Bachelor's Decree,Private Sector Employee,No,,
605,25.5,25000.0,2.0,2.0,6.0,0.0,30.0,46.0,30.0,50.0,10.0,2.0,-4.0,1,21-30,"Below N50,000",Bank B,Female,Bank B,Aba,OND/HND,Student,No,,
616,33,175000.0,10.0,2.0,30.0,30.0,0.0,96.0,48.0,60.0,20.0,0.0,0.0,1,31-35,"N101,000 - N250,000",Bank C,Female,Bank F,Aba,Secondary school leaving certificate,Self Employed,No,,
617,33,175000.0,10.0,2.0,30.0,30.0,0.0,64.0,32.0,110.0,20.0,0.0,0.0,1,31-35,"N101,000 - N250,000",Bank F,Female,Bank F,Aba,Secondary school leaving certificate,Self Employed,No,,
618,38,25000.0,2.0,2.0,6.0,0.5,0.5,28.0,14.0,120.0,40.0,48.0,0.0,3,36-40,"Below N50,000",Bank A,Female,Bank A,Aba,Secondary school leaving certificate,Self Employed,No,,
623,25.5,25000.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,36.0,16.0,0.0,0.0,0,21-30,"Below N50,000",Bank D,Male,Bank D,Aba,OND/HND,Student,No,,
624,38,175000.0,7.0,0.5,6.0,0.5,0.0,16.0,8.0,180.0,24.0,0.0,0.0,0,36-40,"N101,000 - N250,000",Bank C,Female,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
625,38,175000.0,12.0,0.5,6.0,0.5,0.0,8.0,10.0,110.0,20.0,0.0,0.0,0,36-40,"N101,000 - N250,000",Bank A,Female,Bank C,Aba,Primary School leaving certificate,Self Employed,No,,
629,38,375000.0,5.0,2.0,6.0,0.5,0.0,36.0,0.0,180.0,50.0,40.0,3.0,3,36-40,"N251,000 - N500,000",Bank F,Male,Bank N,Aba,Secondary school leaving certificate,Self Employed,No,,
630,38,375000.0,10.0,2.0,6.0,0.5,0.0,42.0,0.0,140.0,30.0,40.0,3.0,2,36-40,"N251,000 - N500,000",Bank N,Male,Bank N,Aba,Secondary school leaving certificate,Self Employed,No,,
631,25.5,25000.0,3.0,2.0,6.0,0.0,0.0,16.0,8.0,60.0,20.0,0.0,0.0,0,21-30,"Below N50,000",Bank B,Female,Bank B,Aba,OND/HND,Private Sector Employee,No,,
651,25.5,175000.0,10.0,30.0,6.0,6.0,6.0,36.0,18.0,108.0,16.0,16.0,0.0,2,21-30,"N101,000 - N250,000",Bank G,Male,Bank G,Aba,No Response,Self Employed,No,,
